Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"CONDOR TECHNOLOG";BE6252013725;MLMFI;"Euronext Access Paris";EUR;12.00;12.00;12.00;12.00;"29/02/2024 16:30";CET;1748;20976.00;12.00;08/04/2024
"CONSORT NT";FR0000077828;MLCNT;"Euronext Access Paris";EUR;70.00;70.00;70.00;70.00;"27/02/2023 16:30";CET;24;1680.00;68.00;08/04/2024
"CONSTRUCTEURS BOIS";FR00140007I9;MLLCB;"Euronext Access Paris";EUR;3.86;3.86;3.86;3.86;"08/04/2024 11:30";CET;30;115.80;3.86;08/04/2024
"CORE SPAIN HOLDCO";ES0105660007;MLCOE;"Euronext Access Paris";EUR;16.60;16.60;16.60;16.60;"17/11/2022 00:00";CET;-;-;16.60;08/04/2024
"COREP LIGHTING";FR0010035816;MLCOR;"Euronext Access Paris";EUR;9.00;9.00;9.00;9.00;"27/02/2024 11:30";CET;47;423.00;9.00;08/04/2024
"CORETECH 5";FR0013371507;MLCOT;"Euronext Access Paris";EUR;0.07;0.07;0.07;0.07;"08/04/2024 11:30";CET;2;0.14;0.07;08/04/2024
COTY;US2220702037;COTY;"Euronext Paris";EUR;10.286;10.286;10.098;10.124;"05/04/2024 17:26";CET;552;5615.27;10.124;08/04/2024
COURBET;FR0004998318;MLCOU;"Euronext Access Paris";EUR;3.50;3.50;3.48;3.48;"26/03/2024 16:30";CET;30;104.56;3.48;08/04/2024
COURTOIS;FR0000065393;COUR;"Euronext Paris";EUR;126.00;126.00;126.00;126.00;"26/03/2024 16:30";CET;3;378.00;126.00;08/04/2024
COVIVIO;FR0000064578;COV;"Euronext Paris";EUR;47.06;47.72;46.96;47.40;"08/04/2024 17:35";CET;97692;4628987.84;47.40;08/04/2024
"COVIVIO HOTELS";FR0000060303;COVH;"Euronext Paris";EUR;16.00;16.10;16.00;16.10;"08/04/2024 17:35";CET;6345;101633.55;16.10;08/04/2024
"CRCAM ALP.PROV.CCI";FR0000044323;CRAP;"Euronext Paris";EUR;70.51;71.50;70.51;71.00;"08/04/2024 16:58";CET;203;14395.96;71.00;08/04/2024
"CRCAM ATL.VEND.CCI";FR0000185506;CRAV;"Euronext Paris";EUR;82.00;83.88;81.50;83.88;"08/04/2024 12:06";CET;518;42585.81;83.88;08/04/2024
"CRCAM BRIE PIC2CCI";FR0010483768;CRBP2;"Euronext Paris";EUR;17.00;17.148;17.00;17.148;"08/04/2024 17:35";CET;3155;53771.63;17.148;08/04/2024
"CRCAM ILLE-VIL.CCI";FR0000045213;CIV;"Euronext Paris";EUR;57.21;57.60;57.21;57.51;"08/04/2024 11:55";CET;339;19491.48;57.51;08/04/2024
"CRCAM LANGUED CCI";FR0010461053;CRLA;"Euronext Paris";EUR;51.00;51.00;50.60;51.00;"08/04/2024 15:41";CET;315;16062.08;51.00;08/04/2024
"CRCAM LOIRE HTE L.";FR0000045239;CRLO;"Euronext Paris";EUR;54.00;54.50;53.13;53.99;"08/04/2024 17:39";CET;999;53638.09;53.99;08/04/2024
"CRCAM MORBIHAN CCI";FR0000045551;CMO;"Euronext Paris";EUR;61.50;62.00;61.50;62.00;"08/04/2024 17:35";CET;102;6288.68;62.00;08/04/2024
"CRCAM NORD CCI";FR0000185514;CNDF;"Euronext Paris";EUR;13.228;13.28;13.11;13.254;"08/04/2024 17:35";CET;1724;22773.766;13.254;08/04/2024
"CRCAM NORM.SEINE";FR0000044364;CCN;"Euronext Paris";EUR;72.50;72.98;72.50;72.64;"08/04/2024 17:26";CET;243;17644.58;72.64;08/04/2024
"CRCAM PARIS ET IDF";FR0000045528;CAF;"Euronext Paris";EUR;59.40;59.45;58.43;58.43;"08/04/2024 17:25";CET;570;33738.09;58.43;08/04/2024
"CRCAM SUD R.A.CCI";FR0000045346;CRSU;"Euronext Paris";EUR;113.02;113.50;113.02;113.50;"08/04/2024 15:03";CET;86;9744.02;113.50;08/04/2024
"CRCAM TOURAINE CCI";FR0000045304;CRTO;"Euronext Paris";EUR;74.00;74.20;71.01;71.06;"08/04/2024 17:35";CET;320;23324.03;71.06;08/04/2024
"CREDIT AGRICOLE";FR0000045072;ACA;"Euronext Paris";EUR;14.12;14.225;14.10;14.13;"08/04/2024 17:36";CET;4357891;61641732.29;14.13;08/04/2024
CROSSJECT;FR0011716265;ALCJ;"Euronext Growth Paris";EUR;2.29;2.29;2.20;2.24;"08/04/2024 17:35";CET;52677;118275.415;2.24;08/04/2024
CROSSWOOD;FR0000050395;CROS;"Euronext Paris";EUR;8.35;8.35;8.35;8.35;"08/04/2024 11:30";CET;2;16.70;8.35;08/04/2024
CYBERGUN;FR0014004QR6;ALCYB;"Euronext Growth Paris";EUR;0.0109;0.0115;0.0095;0.0103;"08/04/2024 17:35";CET;6687973;68671.3937;0.0103;08/04/2024
"CYBERGUN BSA K1";FR0013507977;CYBK1;"Euronext Growth Paris";EUR;0.0005;0.0005;0.0005;0.0005;"15/09/2023 09:00";CET;1;-;0.0005;08/04/2024
"CYBERGUN BSA K2A";FR0013507985;CYBKA;"Euronext Growth Paris";EUR;0.001;0.001;0.001;0.001;"07/02/2024 10:43";CET;5500;5.50;0.001;08/04/2024
"CYBERGUN BSA K2B";FR0013508009;CYBKB;"Euronext Growth Paris";EUR;0.0005;0.0005;0.0005;0.0005;"09/11/2023 09:00";CET;577209;288.61;0.0005;08/04/2024
D.L.S.I.;FR0010404368;ALDLS;"Euronext Growth Paris";EUR;14.60;14.60;14.50;14.50;"08/04/2024 17:11";CET;568;8255.70;14.50;08/04/2024
DAMARIS;FR0000077885;MLDAM;"Euronext Access Paris";EUR;8.50;8.50;8.50;8.50;"26/03/2024 11:30";CET;15;127.50;8.50;08/04/2024
DAMARTEX;FR0000185423;ALDAR;"Euronext Growth Paris";EUR;3.17;3.17;3.17;3.17;"08/04/2024 16:15";CET;51;161.67;3.17;08/04/2024
DANONE;FR0000120644;BN;"Euronext Paris";EUR;57.92;58.08;57.56;57.68;"08/04/2024 17:35";CET;965517;55742159.40;57.68;08/04/2024
"DASSAULT AVIATION";FR0014004L86;AM;"Euronext Paris";EUR;205.40;210.00;205.40;210.00;"08/04/2024 17:35";CET;52662;11034618.60;210.00;08/04/2024
"DASSAULT SYSTEMES";FR0014003TT8;DSY;"Euronext Paris";EUR;40.09;40.50;40.08;40.24;"08/04/2024 17:35";CET;950829;38290494.43;40.24;08/04/2024
DBT;FR001400LO86;ALDBT;"Euronext Growth Paris";EUR;1.48;1.5124;1.4302;1.51;"08/04/2024 17:13";CET;6064;9133.2692;1.51;08/04/2024
"DBV TECHNOLOGIES";FR0010417345;DBV;"Euronext Paris";EUR;1.362;1.378;1.352;1.374;"08/04/2024 17:35";CET;55598;76019.83;1.374;08/04/2024
DEEZER;FR001400AYG6;DEEZR;"Euronext Paris";EUR;2.04;2.04;2.03;2.04;"08/04/2024 13:40";CET;130;265.15;2.04;08/04/2024
"DEEZER WARRANTS";FR0014004JF6;DEEZW;"Euronext Paris";EUR;0.0005;0.0005;0.0005;0.0005;"12/12/2023 10:23";CET;50001;25.00;0.0005;08/04/2024
DEKUPLE;FR0000062978;DKUPL;"Euronext Paris";EUR;32.40;32.60;32.00;32.40;"08/04/2024 17:35";CET;4214;135740.90;32.40;08/04/2024
DELFINGEN;FR0000054132;ALDEL;"Euronext Growth Paris";EUR;38.00;38.00;37.40;37.90;"08/04/2024 17:35";CET;2559;96608.60;37.90;08/04/2024
"DELTA PLUS GROUP";FR0013283108;ALDLT;"Euronext Growth Paris";EUR;81.40;83.40;81.20;83.40;"08/04/2024 17:35";CET;1969;162768.40;83.40;08/04/2024
DERICHEBOURG;FR0000053381;DBG;"Euronext Paris";EUR;4.36;4.528;4.332;4.528;"08/04/2024 17:35";CET;279539;1250006.06;4.528;08/04/2024
DEVERNOIS;FR0000060840;ALDEV;"Euronext Growth Paris";EUR;10.30;10.30;10.30;10.30;"28/02/2024 16:30";CET;1;10.30;10.30;08/04/2024
"DIAGNOSTIC MED BSA";FR001400IAQ8;DMSBS;"Euronext Growth Paris";EUR;0.002;0.002;0.002;0.002;"08/04/2024 11:59";CET;174032;348.064;0.002;08/04/2024
"DIAGNOSTIC MEDICAL";FR0012202497;ALDMS;"Euronext Growth Paris";EUR;1.12;1.135;1.12;1.135;"08/04/2024 17:29";CET;8402;9478.765;1.135;08/04/2024
"DMS IMAGING";BE0974289218;ALIMG;"Euronext Growth Brussels, Paris";EUR;0.018;0.02;0.0172;0.02;"08/04/2024 17:35";CET;7819;139.2172;0.02;08/04/2024
DNXCORP;FR0010436584;ALDNX;"Euronext Growth Paris";EUR;20.60;21.50;20.60;21.00;"08/04/2024 17:18";CET;602;12598.20;21.00;08/04/2024
"DOCK.PETR.AMBES AM";FR0000065260;DPAM;"Euronext Paris";EUR;520.00;520.00;520.00;520.00;"04/04/2024 16:30";CET;1;520.00;520.00;08/04/2024
DOLFINES;FR0014004QZ9;ALDOL;"Euronext Growth Paris";EUR;0.0007;0.0008;0.0007;0.0007;"08/04/2024 16:25";CET;1863454;1310.7178;0.0007;08/04/2024
DONTNOD;FR0013331212;ALDNE;"Euronext Growth Paris";EUR;2.50;2.53;2.43;2.50;"08/04/2024 17:29";CET;27152;67720.83;2.50;08/04/2024
"DRONE VOLT";FR0013088606;ALDRV;"Euronext Growth Paris";EUR;0.0077;0.0079;0.0075;0.0078;"08/04/2024 17:35";CET;6080435;46946.7189;0.0078;08/04/2024
"DRONE VOLT BS26";FR0014007951;BNBS;"Euronext Growth Paris";EUR;0.0005;0.0005;0.0005;0.0005;"05/04/2024 09:00";CET;127800;63.90;0.0005;08/04/2024
DYNAFOND;FR0000052920;MLDYN;"Euronext Access Paris";EUR;0.70;0.70;0.70;0.70;"30/08/2023 16:30";CET;769;538.30;0.70;08/04/2024
"DYNEX ENERGY SA";LU0881232630;MLDYX;"Euronext Access Paris";EUR;1.50;1.50;1.50;1.50;"16/09/2022 16:30";CET;6;9.00;1.50;08/04/2024
"E PANGO";FR0014004339;ALAGO;"Euronext Growth Paris";EUR;0.76;0.76;0.744;0.748;"08/04/2024 17:35";CET;2598;1956.937;0.748;08/04/2024
EAGLEFOOTBALLGROUP;FR0010428771;EFG;"Euronext Paris";EUR;2.13;2.15;2.09;2.10;"08/04/2024 17:12";CET;734;1555.00;2.10;08/04/2024
"EASSON HOLDINGS";HK0000038783;MLEAS;"Euronext Access Paris";EUR;1.56;1.56;1.56;1.56;"21/12/2023 11:30";CET;20;31.20;1.56;08/04/2024
"EAUX DE ROYAN";FR0007200100;MLEDR;"Euronext Access Paris";EUR;86.50;86.50;86.50;86.50;"08/04/2024 16:30";CET;2;173.00;86.50;08/04/2024
EAVS;FR0010536185;MLEAV;"Euronext Access Paris";EUR;13.00;13.00;13.00;13.00;"28/09/2022 11:30";CET;2;26.00;13.00;08/04/2024
ECOLUTIONS;DE000A0XYM45;MLECO;"Euronext Access Paris";EUR;1.25;1.25;1.25;1.25;"21/12/2016 15:00";CET;100;125.00;1.25;08/04/2024
ECOMIAM;FR0013534617;ALECO;"Euronext Growth Paris";EUR;2.86;2.92;2.70;2.92;"08/04/2024 15:56";CET;2335;6569.34;2.92;08/04/2024
ECOSLOPS;FR0011490648;ALESA;"Euronext Growth Paris";EUR;0.68;0.69;0.66;0.69;"08/04/2024 15:50";CET;1549;1051.69;0.69;08/04/2024
EDENRED;FR0010908533;EDEN;"Euronext Paris";EUR;50.34;50.34;49.10;49.10;"08/04/2024 17:35";CET;577915;28491177.82;49.10;08/04/2024
EDILIZIACROBATICA;IT0005351504;ALEAC;"Euronext Growth Paris";EUR;11.35;11.45;11.20;11.30;"08/04/2024 16:30";CET;876;9937.55;11.30;08/04/2024
